Complexity,Loss,Equation
1,601.2246,"-0.18213075"
3,585.13605,"(2.9376166 - x3)"
5,538.2697,"((2.9387538 - x3) * x0)"
7,507.28748,"(((3.0821247 - x3) * x2) * x0)"
9,446.43692,"((((3.0821247 - x3) * x0) * x2) * 0.6187998)"
11,198.94922,"(((-0.36306763 * x3) - -1.1270938) * (x0 * (x2 * x1)))"
13,196.55519,"(((-0.3873999 * x3) - -1.2041305) * (x0 * ((x2 - 0.27480665) * x1)))"
15,171.42047,"(((-0.3873999 * (x3 + (0.15683886 / x3))) - -1.2671682) * (x0 * (x2 * x1)))"
17,162.05713,"(((-0.3873999 * (x3 + (0.22354282 / (x3 + 0.020481456)))) - -1.2671682) * (x0 * (x1 * x2)))"
19,159.8888,"((((-0.3873999 * (x3 + (0.22354282 / (x3 + 0.020481456)))) - -1.2671682) * (x0 * (x1 * x2))) / 0.93222755)"
