Complexity,Loss,Equation
1,14361.446,"0.61880684"
3,14045.508,"(x1 * 0.053604748)"
5,12855.17,"((x3 / x4) * x1)"
7,10322.443,"((x3 / x4) * (x1 - x2))"
9,1.1923743e-10,"(((x3 / x4) * (x1 - x2)) * x0)"
