Complexity,Loss,Equation
1,136696.06,"118.084915"
3,119017.36,"(0.05380082 * x0)"
5,85037.49,"((x1 * 1080.7731) * x1)"
7,6.93538e-10,"(((x1 * x0) * 0.5) * x1)"
