Complexity,Loss,Equation
1,3471.105,"4.3978467"
3,465.37552,"(x0 / x1)"
5,67.88802,"(x0 / (x1 * 1.3408475))"
7,11.670907,"(((x0 / 1.4927304) + 0.05466031) / x1)"
9,1.1061082,"((x0 * ((-0.24699724 * x0) + 1.0489432)) / x1)"
11,0.04419785,"((x0 * (((-0.14923064 * x0) * x0) + 0.9971222)) / x1)"
13,0.024335785,"((((x0 * (6.878879 - (x0 * x0))) + 0.019787032) / x1) / 7.003566)"
15,0.010462857,"((((x0 * (6.878879 - (x0 * x0))) + 0.019787032) / x1) / (7.003566 - x1))"
17,0.009834397,"((((x0 * (6.878879 - ((x0 - (x1 * x1)) * x0))) + 0.019787032) / x1) / 7.003566)"
19,0.008447397,"((((((x0 * ((6.8787913 + x1) - (x0 * x0))) + 0.01939468) / x1) + x1) / 7.0013576) + -0.123013094)"
