Complexity,Loss,Equation
1,4.8201645e23,"x1"
5,4.820149e23,"(x0 / (-0.0011602523 * -0.0011602523))"
7,4.809417e23,"((x0 / 0.00024035179) / (-0.0028655443 * -0.0028655443))"
9,3.7964985e23,"((x0 / (-0.0028655443 * -0.0011602523)) / (-0.0028655443 * -0.0011602523))"
11,5.8362918e22,"(((x0 / (-0.0028655443 * -0.0013545332)) / (-0.0028655443 * -0.0013545332)) / x1)"
13,5.379521e22,"((((x0 / (-0.0045648757 * -0.004606089)) / (-0.0045648757 * 0.037906647)) / x1) / -0.0045648757)"
15,9.762123e16,"((((((x0 / x1) / (-0.0049098344 * -0.0049338206)) / 0.18951936) / -0.0049098344) / x1) / -0.0049338206)"
17,8.624062e14,"((((((x0 / x1) / (-0.0049098344 * -0.0049098344)) / x1) / -0.004606089) / (0.21321188 / 0.98003596)) / -0.004606089)"
