,0,1,2,3
0,0.24038993,0.3411765,-1.4974368,-0.008078799
1,0.6430022,0.25452405,-1.4541539,-1.3795856
2,0.06454676,0.13330863,-1.4242373,-0.20746098
3,0.95771927,-0.8259313,-1.3674167,-32.752502
4,0.97785676,-2.7093372,0.971249,-180.82375
5,0.35559434,0.35026884,-1.5013331,-0.19073759
6,0.87422866,-2.5907054,1.0735073,-150.56206
7,0.81172496,-1.5912888,-0.05730449,-78.82006
8,0.5736435,0.24261852,-1.452711,-1.4749564
9,0.10381855,-0.2764075,-1.3160787,-0.8082473
10,0.32552215,-1.3867571,-0.44713083,-12.865523
11,0.23623078,0.3576093,-1.5102744,0.030218735
12,0.9179659,-1.8015689,-0.112539805,-103.67823
13,0.7504484,0.34900388,-1.5057899,-0.2481588
14,0.2423992,0.05501251,-1.4139332,-1.3556604
15,0.25293317,-1.0563288,-1.0602365,-6.7936974
16,0.07946291,0.23595096,-1.4501736,-0.14327203
17,0.9291755,-0.1703534,-1.3945168,-11.596441
18,0.81898606,-0.96958584,-0.5463937,-48.58987
19,0.74332476,-0.6069543,-1.3917027,-18.857971
20,0.66263133,-2.0184252,0.4198861,-68.07467
21,0.4782304,-0.394629,-1.2228283,-8.178963
22,0.69599366,0.1639522,-1.4290656,-2.9184358
23,0.030688643,0.33443692,-1.5017655,0.002151981
24,0.21897915,0.35508308,-1.4985265,-0.0067771524
25,0.22995761,0.20306875,-1.3597533,-0.19866179
26,0.3653728,-1.6304393,-0.12722287,-17.55982
27,0.8461601,-1.6221023,-0.43585622,-76.99996
28,0.19277059,-0.60085785,-0.839046,-1.7601992
29,0.8582925,-0.79281265,-0.9946946,-35.212444
30,0.47427058,-0.13164009,-1.3326784,-4.875178
31,0.5156139,-1.6619856,-0.73288643,-34.10474
32,0.40994653,-1.5554671,-0.11189315,-19.935535
33,0.843798,-0.031622157,-1.4063054,-7.256552
34,0.42433983,-1.9664806,0.33291367,-27.322292
35,0.17847139,-0.74043953,-0.7273731,-2.0668736
36,0.3126998,-1.7747428,-0.32000765,-15.303411
37,0.86910194,0.28172293,-1.4754499,-1.3346142
38,0.19968142,-1.4246895,-0.4307032,-4.7236714
39,0.6870981,0.006113092,-1.4041371,-5.3929915
40,0.09369629,-1.1028768,-0.78047085,-0.8735653
41,0.8821538,0.3126652,-1.4937853,-0.7722982
42,0.7889743,-0.8221465,-0.6837296,-37.78549
43,0.29668587,0.066241674,-1.4121392,-1.7675997
44,0.31839138,0.03372111,-1.4103018,-2.2434084
45,0.30620182,-0.12053223,-1.2760122,-2.2637594
46,0.092691764,0.31013003,-1.4822831,-0.02410613
47,0.9943166,0.28130323,-1.4667828,-2.354912
48,0.3969735,-0.6618673,-1.1634212,-9.227561
49,0.5034999,0.24477202,-1.4503188,-1.2217282
50,0.08962617,-1.6742774,0.040692065,-0.73664606
51,0.9583483,-2.480625,0.6974366,-159.44017
52,0.94062513,-1.1090717,-1.1326637,-48.40577
53,0.21998386,-1.8081218,0.19252905,-6.54392
54,0.5514103,0.32122746,-1.488249,-0.5632504
55,0.68204266,-1.4201164,-0.75240165,-45.56615
56,0.45921913,0.33076397,-1.4962757,-0.1767944
57,0.6240775,0.14313385,-1.4205718,-2.8714774
58,0.18365084,0.24623804,-1.4559417,-0.38132274
59,0.6586442,0.3286806,-1.4895669,-0.41688
60,0.73186874,0.068388514,-1.351269,-4.9108353
61,0.78588754,-0.15855543,-1.1294196,-11.483519
62,0.70459926,-1.0165454,-1.3199584,-28.980562
63,0.07998761,0.29588038,-1.4737444,-0.028523192
64,0.63814974,0.35133824,-1.5148313,-0.10911165
65,0.06452405,-2.7578976,1.2442462,-1.12054
66,0.9064722,-0.9343236,-1.2579432,-36.663845
67,0.83316034,-0.9236784,-0.58568853,-47.550243
68,0.784065,-1.4414486,-0.6015023,-59.513058
69,0.14144729,-0.32832506,-1.3789268,-1.6261271
70,0.059889447,-0.18892847,-1.3892719,-0.2541777
71,0.46841565,0.25978124,-1.4657614,-0.8731407
72,0.034828853,-1.4037389,-0.9922945,-0.44346464
73,0.9001307,-2.0257459,0.35898787,-121.83892
74,0.12724419,-0.5990473,-1.0878513,-1.3143698
75,0.21367502,0.26699767,-1.4518256,-0.34898877
76,0.31095946,0.2188683,-1.4393761,-1.0464138
77,0.13224289,0.2785691,-1.4634644,-0.1538385
78,0.38531923,-1.2452021,-0.4700006,-14.838328
79,0.2781116,-0.9309991,-1.2479217,-7.845951
80,0.36935478,0.29324323,-1.4763832,-0.59230125
81,0.8464405,-0.50057817,-0.9017869,-26.79204
82,0.87515324,0.034742665,-1.3737411,-6.389029
83,0.4142724,-0.90183425,-0.98470217,-13.034439
84,0.5510668,0.36412805,-1.5058739,-0.032309875
85,0.5962787,0.10808968,-1.418344,-3.3126132
86,0.7694662,0.33886588,-1.4914161,-0.4664625
87,0.06897529,-1.7004478,0.03650014,-0.4400276
88,0.69308054,0.29378355,-1.4720862,-0.96892107
89,0.09075177,-0.75508034,-0.7203998,-0.37220645
90,0.3033098,-0.3644384,-1.3950801,-4.5389028
91,0.70395476,0.324089,-1.4938779,-0.5546907
92,0.91598505,-0.42082185,-0.99931216,-25.545568
93,0.69541734,-0.8539289,-1.02411,-27.458273
94,0.82222813,-1.7413235,0.023088261,-87.10402
95,0.41701755,0.33992398,-1.4943233,-0.13394867
96,0.7311024,-0.5792365,-0.89264405,-22.921154
97,0.2234977,0.25596437,-1.4525071,-0.4060428
98,0.4703661,0.33342147,-1.486898,-0.09354292
99,0.64251435,0.36617473,-1.5017195,0.14281143
100,0.10775205,-2.7014694,1.1672776,-2.8324416
101,0.2892276,-1.5978181,-0.15538391,-10.797233
102,0.85229796,-1.9962394,0.12449408,-102.19424
103,0.33917356,-0.38775575,-1.3441496,-5.254975
104,0.8002216,-0.6720275,-1.348911,-22.547096
105,0.39062122,0.21168238,-1.433779,-1.1601804
106,0.25691643,-2.1240714,0.20449278,-11.883375
107,0.8164183,0.3250833,-1.494411,-0.64613664
108,0.94098836,0.3274242,-1.4895757,-0.66344583
109,0.7852573,0.24684796,-1.4600077,-2.0089266
110,0.6401755,0.16569926,-1.4118412,-2.6450784
111,0.43867356,-0.42050445,-1.1582252,-7.4188666
112,0.5835396,-0.44277862,-1.3904247,-11.609697
113,0.4344533,-0.54018825,-1.0149622,-8.636779
114,0.016773246,-0.29330173,-1.279119,0.09124984
115,0.019546038,-1.1054515,-1.2028986,-0.47141302
116,0.36697388,-2.8224518,1.2730002,-29.265757
117,0.32655385,0.31756404,-1.4861237,-0.41681397
118,0.20740624,0.35601407,-1.5064405,-0.049251065
119,0.06609541,-2.7728684,1.276387,-1.1475385
120,0.09194847,-0.097675875,-1.3460187,-0.5001726
121,0.11606699,0.28327063,-1.4549654,-0.07093249
122,0.5928407,-3.2255173,1.8756081,-86.645
123,0.40905043,-1.2010026,-0.36793506,-15.049947
124,0.56672883,0.18951635,-1.4093643,-2.1165073
125,0.8676028,-0.88017035,-1.2592436,-32.94633
126,0.78229755,-2.2374365,0.6143103,-103.63581
127,0.54202634,0.3593319,-1.5145608,-0.18401657
128,0.05364103,-2.1844223,0.60891575,-0.0043195337
129,0.32683954,0.32730344,-1.4956287,-0.35578
130,0.105848685,0.15586735,-1.4265407,-0.3941188
131,0.9333884,-1.1361138,-0.40839136,-74.47802
132,0.6571791,-2.8061373,1.2532034,-91.36817
133,0.056647588,-2.4204443,0.846086,-0.46549594
134,0.7153615,0.15736756,-1.3838103,-3.2119973
135,0.8792142,-1.1333439,-0.7655728,-55.34978
136,0.94803184,-2.8552086,1.20906,-183.64233
137,0.7354121,0.35722882,-1.5002202,-0.118174896
138,0.264602,0.042882133,-1.398125,-1.5369142
139,0.011753931,-0.4987003,-1.1248094,-0.14912544
140,0.56690496,-0.612526,-1.3749206,-14.247125
141,0.04380225,0.33698577,-1.488941,-0.029662475
142,0.6744666,0.10710667,-1.4235774,-3.6571429
143,0.029950295,-0.29813847,-1.1107656,-0.22345863
144,0.5315651,-2.0453694,0.45665544,-43.658913
145,0.051239174,-2.2066174,0.63983005,0.065631524
146,0.27435443,-1.7580482,0.09930858,-10.522517
147,0.18013798,0.28976992,-1.4636064,-0.20694755
148,0.27321258,-0.40866122,-1.3995303,-4.349437
149,0.97125095,0.36462522,-1.5170254,-0.18308578
150,0.078407355,0.1394057,-1.3860426,-0.26929092
151,0.9160701,-1.3076204,-0.5491861,-72.56636
152,0.24624112,-0.89785135,-1.0725619,-5.760142
153,0.63997024,0.32245556,-1.4951332,-0.46446645
154,0.7482634,-0.9072135,-1.3559434,-27.471426
155,0.07448542,-1.9983617,0.3359762,-0.7241863
156,0.9734948,-2.6459007,1.1065583,-186.91658
157,0.6205188,0.27503413,-1.4607651,-1.0020164
158,0.10837702,-0.5446009,-0.8926782,-0.53270113
159,0.3549456,-1.3916208,-0.22167955,-13.399984
160,0.6903121,-0.013267517,-1.4054127,-5.749284
161,0.30701298,-0.51285344,-1.273471,-5.1987834
162,0.23454516,0.21008746,-1.4403746,-0.58192706
163,0.3019062,-0.64793855,-1.2528707,-6.181027
164,0.93958753,-2.26553,0.7011318,-152.59335
165,0.65464216,0.3047849,-1.4674561,-0.7364229
166,0.5382654,-2.1255274,0.103905186,-47.717747
167,0.90483755,0.33904576,-1.4967401,-0.34615934
168,0.37343082,-1.0330789,-0.4905501,-10.531691
169,0.03332387,-0.029319858,-1.392458,-0.07428108
170,0.6440481,-1.3867618,-0.2334419,-44.26395
171,0.66752535,-0.8035185,-1.3929057,-21.47282
172,0.5233767,0.31825465,-1.4858338,-0.52325046
173,0.75205404,-1.6784345,0.0076695476,-71.94218
174,0.40754738,0.3522451,-1.502537,-0.034358367
175,0.5252964,0.27981558,-1.4619405,-0.91783607
176,0.3659579,-2.2044005,0.42836446,-23.566532
177,0.44494244,0.31026277,-1.4784168,-0.36927354
178,0.4961226,-0.11919422,-1.3782195,-5.2082396
179,0.91062874,0.06357078,-1.258485,-7.2248406
180,0.20633705,0.36368102,-1.5030923,-0.0035680383
181,0.13175754,0.33249977,-1.4874129,-0.010382757
182,0.52550644,-1.3220476,-0.7372776,-28.646292
183,0.7182341,-0.10654724,-1.2050383,-8.649188
184,0.42040333,0.3205503,-1.4869863,-0.3163079
185,0.6868407,0.2967667,-1.4731653,-0.9094113
186,0.63215894,-2.51975,0.99536836,-77.29595
187,0.28096065,-3.0004368,1.4985625,-18.764532
188,0.7964799,-0.6930457,-0.919726,-30.082798
189,0.53497803,0.2332365,-1.4437817,-1.5215706
190,0.8360128,0.33523825,-1.4916652,-0.45900667
191,0.9828987,0.3483851,-1.4999605,-0.7291721
192,0.34531015,-0.4559186,-0.95396143,-4.403855
193,0.7246178,-1.7079883,-0.0088322,-67.55483
194,0.1961796,-0.9560873,-0.60915965,-3.3101728
195,0.67093855,-0.76362926,-1.1578606,-22.638481
196,0.16689748,0.34418914,-1.4993505,-0.06801711
197,0.33285332,-2.9648385,1.4740413,-25.173384
198,0.3372517,-1.2102616,-0.3561583,-10.179837
199,0.19929998,-2.7140982,1.2243336,-8.26941
200,0.5747461,-0.32343554,-1.3356842,-9.528442
201,0.9881641,0.24523349,-1.3864336,-3.933532
202,0.8463298,-2.1641002,0.3775465,-111.602875
203,0.75087535,-0.20419611,-1.383474,-10.002281
204,0.0402064,-1.9690623,-0.062209427,-1.2894472
205,0.02165918,-2.9505816,1.5059466,0.63425124
206,0.32530552,-1.007506,-0.5913831,-8.194514
207,0.33299816,0.32885334,-1.4846163,-0.32847583
208,0.08764882,-0.93131983,-0.70514095,-0.5265292
209,0.6681732,0.32233235,-1.486663,-0.5250343
210,0.11762065,-0.35876653,-1.4007468,-1.1461831
211,0.733332,-0.45519075,-1.4033893,-14.895898
212,0.081893556,-2.1281092,-0.0076601966,-2.8499238
213,0.40754482,0.19077247,-1.4339433,-1.3971618
214,0.73441577,-0.8817159,-0.78028286,-33.76801
215,0.33973345,-2.013418,0.29801396,-18.597034
216,0.46408954,-2.3493145,0.69385874,-39.20743
217,0.67109513,-1.4056247,-0.19989884,-48.592445
218,0.46803504,-0.6164602,-1.2744914,-11.234984
219,0.5496108,-1.3184701,-0.28126052,-30.35339
220,0.1329077,-0.014184922,-1.3823102,-0.9764153
221,0.21389616,0.34230065,-1.495285,-0.079272375
222,0.85919744,-0.9342716,-0.77429223,-45.906197
223,0.6249128,-2.6644902,1.0916897,-79.03729
224,0.1279671,-0.7338651,-0.7546831,-1.0693961
225,0.9912575,-1.8884223,0.266705,-138.74438
226,0.6263962,-0.6343298,-0.7954317,-18.257763
227,0.70699537,0.3630137,-1.5024304,-0.02738987
228,0.9776659,-0.5010219,-1.3675836,-22.779799
229,0.9490671,0.3415688,-1.4852788,-0.5247482
230,0.52989465,0.26379523,-1.4616064,-1.1649951
231,0.1903783,-1.4745048,-0.94946337,-5.4931903
232,0.0872965,0.09448023,-1.4054071,-0.37369502
233,0.469052,0.29112044,-1.4746313,-0.5679611
234,0.2863338,0.115199625,-1.4228681,-1.4206952
235,0.3410101,-1.0184305,-0.52510107,-8.662513
236,0.862328,-2.153816,0.5327749,-120.41076
237,0.71785116,-0.4183017,-1.2563798,-14.917867
238,0.4004692,-0.102550894,-1.3967049,-4.0818973
239,0.14176948,0.27985325,-1.4310688,-0.06987594
240,0.4430902,-1.6191828,-0.19225806,-25.539423
241,0.43323064,0.29066074,-1.4666135,-0.5218061
242,0.60902137,-0.3516758,-1.1079041,-10.499869
243,0.49336916,-0.33500156,-1.4049915,-8.162104
244,0.11967386,-1.0531982,-0.5615202,-1.377998
245,0.65852046,-0.14023088,-1.1537632,-8.025854
246,0.7002912,-2.6932783,1.2198777,-101.32891
247,0.34918463,0.18448697,-1.434955,-1.3084081
248,0.29246417,0.2726636,-1.4633697,-0.6170987
249,0.051997263,-2.0874527,0.3604103,-0.48572528
250,0.71624297,0.35096565,-1.5097698,-0.1956247
251,0.70334077,0.35047323,-1.490507,-0.19663845
252,0.21256863,-0.44240612,-1.0857514,-2.053176
253,0.28006446,0.208188,-1.4355742,-0.8026992
254,0.8551925,-2.9803443,1.5667722,-166.58936
255,0.29506132,-2.378477,0.2512751,-17.329954
256,0.019921085,-3.0171394,1.511414,0.4359299
257,0.7070057,-1.2402513,-0.3326087,-47.05379
258,0.5667743,-2.8996909,1.3780392,-71.2564
259,0.5795862,0.26804286,-1.4586066,-1.0982193
260,0.21453337,-0.72381765,-0.7324067,-2.7030897
261,0.38497478,0.11986335,-1.4194475,-1.9147314
262,0.2639659,-1.8289553,-0.11624922,-11.155801
263,0.4000635,-0.8359079,-0.6645532,-9.844804
264,0.22931781,0.18239348,-1.4311403,-0.6887542
265,0.12998933,-1.9269797,0.08400285,-3.0731456
266,0.073269226,0.05202347,-1.3860633,-0.27205384
267,0.8401527,-1.7491702,0.13347873,-93.841606
268,0.1306579,-0.15043373,-1.145869,-0.5196675
269,0.29618937,-0.22246256,-1.3951837,-3.5124688
270,0.09163162,-2.031212,0.35899004,-1.2949156
271,0.20491102,-0.6320202,-0.936608,-2.6026237
272,0.33198932,-0.5464701,-1.3578137,-6.6201015
273,0.21993172,-1.7111648,-0.017870793,-6.5655446
274,0.054372933,0.27360114,-1.4675698,-0.1312555
275,0.75799906,0.23881441,-1.450105,-2.0227354
276,0.40772066,-0.79713607,-1.3772994,-11.831595
277,0.65757424,0.3341503,-1.49632,-0.34424055
278,0.9270633,-0.60532486,-1.296698,-25.549147
279,0.4074714,0.33422056,-1.4925344,-0.20226417
280,0.55151874,-0.3500434,-1.3306843,-9.48989
281,0.98780984,-0.3774996,-1.3264899,-20.114536
282,0.3264861,0.29889604,-1.4707763,-0.53804934
283,0.5208835,-0.36600053,-1.170226,-8.879228
284,0.27285835,-1.1537756,-0.6683933,-8.227985
285,0.63857716,0.227376,-1.4349629,-1.7087091
286,0.92254657,-1.0494947,-0.72582704,-57.12418
287,0.34700426,-2.476764,0.94347316,-22.973713
288,0.57588494,0.29664513,-1.475961,-0.7635106
289,0.12206938,-1.3237859,-1.2084277,-2.723981
290,0.6875787,-0.09103536,-1.2381222,-7.7453995
291,0.66809,-2.6338942,0.8563958,-86.8977
292,0.44255233,0.21905498,-1.4362888,-1.1196588
293,0.8957888,0.22343177,-1.437211,-2.4964163
294,0.68001175,0.3255721,-1.4945781,-0.500913
295,0.45188656,-0.78492934,-0.7496154,-12.558341
296,0.377608,-2.238528,0.6490238,-24.46197
297,0.8435491,-1.7858863,-0.31135035,-84.49082
298,0.57305807,0.32453164,-1.4849969,-0.40621555
299,0.58722895,0.24485287,-1.4512975,-1.3988088
300,0.4038744,-0.7749101,-0.775608,-10.02391
301,0.2455099,0.22489299,-1.450201,-0.5141653
302,0.7967779,-2.6751251,0.9674679,-123.52491
303,0.13251762,0.11555161,-1.3816506,-0.49823177
304,0.23063953,-0.86463845,-0.69299424,-4.120238
305,0.36286187,-0.5831715,-0.8531316,-5.899783
306,0.024686461,-0.36305824,-1.0124619,-0.076080665
307,0.8142539,-2.7503831,1.1815225,-135.79907
308,0.94655925,-0.24074957,-1.3426294,-14.553014
309,0.5669489,-2.2443182,0.38311794,-55.098797
310,0.86817265,0.10424612,-1.4238726,-4.628428
311,0.6348788,-1.9609845,-0.05560149,-58.762756
312,0.9985814,0.31868523,-1.4982877,-1.5069269
313,0.021660006,-1.4138958,-0.52649516,0.08669247
314,0.30644855,-0.100620374,-1.2112334,-1.7655705
315,0.2564773,0.3284184,-1.4929594,-0.074442014
316,0.8007882,-0.02083244,-1.4024575,-6.8171573
317,0.42289248,-0.3747656,-1.4101679,-7.354021
318,0.7679322,0.016716087,-1.3271161,-6.2078595
319,0.34167808,-0.38631043,-1.3865713,-5.53476
320,0.20512927,-0.8266547,-1.3138301,-4.09798
321,0.114751495,-0.76526994,-0.69286907,-0.8350891
322,0.3951774,-0.87676096,-0.67053545,-10.344476
323,0.50883955,0.07041901,-1.2692395,-2.072623
324,0.16837734,0.12157897,-1.3558413,-0.5393871
325,0.12542729,-2.5787947,0.8665085,-3.6455228
326,0.068472676,-2.4857895,0.5412589,-2.1682155
327,0.023667337,-0.3588359,-1.3296174,0.07818951
328,0.10082175,-2.3979604,0.8320764,-1.8717612
329,0.7956578,0.29939178,-1.4640676,-1.183513
330,0.5133306,0.3181239,-1.485189,-0.45153606
331,0.2827762,-1.8467124,0.22539812,-11.613919
332,0.17915349,-1.222067,-0.70022255,-3.610515
333,0.44346792,-0.4984518,-1.4055276,-9.258035
334,0.81721115,-0.3473957,-1.0960655,-17.454424
335,0.37411177,-0.17644183,-1.2628406,-3.7734478
